MEASURE:Migration type,SEX_ABS:Sex,AGE:Age,ASGS_2011:Region,FREQUENCY:Frequency,TIME:Time,Value,Flag Codes:Flags
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2015:2015,2360,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2016:2016,2590,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2017:2017,2410,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2018:2018,2350,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2019:2019,2450,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2004:2004,490,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2005:2005,600,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2006:2006,740,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2007:2007,760,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2008:2008,790,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2009:2009,880,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2010:2010,840,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2011:2011,800,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2012:2012,900,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2013:2013,900,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2014:2014,850,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2015:2015,860,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2016:2016,840,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2017:2017,840,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2018:2018,860,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2019:2019,810,
1:NOM arrival,1:Males,A04:0 - 4,5:Western Australia,A:Annual,2004:2004,1260,
1:NOM arrival,1:Males,A04:0 - 4,5:Western Australia,A:Annual,2005:2005,1450,
1:NOM arrival,1:Males,A04:0 - 4,5:Western Australia,A:Annual,2006:2006,1730,
1:NOM arrival,1:Males,A04:0 - 4,5:Western Australia,A:Annual,2007:2007,2070,
1:NOM arrival,1:Males,A04:0 - 4,5:Western Australia,A:Annual,2008:2008,2590,
1:NOM arrival,1:Males,A04:0 - 4,5:Western Australia,A:Annual,2009:2009,1970,
1:NOM arrival,1:Males,A04:0 - 4,5:Western Australia,A:Annual,2010:2010,2080,
1:NOM arrival,1:Males,A04:0 - 4,5:Western Australia,A:Annual,2011:2011,2480,
1:NOM arrival,1:Males,A04:0 - 4,5:Western Australia,A:Annual,2012:2012,2860,
1:NOM arrival,1:Males,A04:0 - 4,5:Western Australia,A:Annual,2013:2013,2460,
1:NOM arrival,1:Males,A04:0 - 4,5:Western Australia,A:Annual,2014:2014,2030,
1:NOM arrival,1:Males,A04:0 - 4,5:Western Australia,A:Annual,2015:2015,1840,
1:NOM arrival,1:Males,A04:0 - 4,5:Western Australia,A:Annual,2016:2016,1750,
1:NOM arrival,1:Males,A04:0 - 4,5:Western Australia,A:Annual,2017:2017,1540,
1:NOM arrival,1:Males,A04:0 - 4,5:Western Australia,A:Annual,2018:2018,1360,
1:NOM arrival,1:Males,A04:0 - 4,5:Western Australia,A:Annual,2019:2019,1460,
1:NOM arrival,1:Males,A04:0 - 4,6:Tasmania,A:Annual,2004:2004,110,
1:NOM arrival,1:Males,A04:0 - 4,6:Tasmania,A:Annual,2005:2005,90,
1:NOM arrival,1:Males,A04:0 - 4,6:Tasmania,A:Annual,2006:2006,110,
1:NOM arrival,1:Males,A04:0 - 4,6:Tasmania,A:Annual,2007:2007,120,
1:NOM arrival,1:Males,A04:0 - 4,6:Tasmania,A:Annual,2008:2008,120,
1:NOM arrival,1:Males,A04:0 - 4,6:Tasmania,A:Annual,2009:2009,130,
1:NOM arrival,1:Males,A04:0 - 4,6:Tasmania,A:Annual,2010:2010,130,
1:NOM arrival,1:Males,A04:0 - 4,6:Tasmania,A:Annual,2011:2011,140,
1:NOM arrival,1:Males,A04:0 - 4,6:Tasmania,A:Annual,2012:2012,110,
1:NOM arrival,1:Males,A04:0 - 4,6:Tasmania,A:Annual,2013:2013,150,
1:NOM arrival,1:Males,A04:0 - 4,6:Tasmania,A:Annual,2014:2014,130,
1:NOM arrival,1:Males,A04:0 - 4,6:Tasmania,A:Annual,2015:2015,120,
1:NOM arrival,1:Males,A04:0 - 4,6:Tasmania,A:Annual,2016:2016,140,
1:NOM arrival,1:Males,A04:0 - 4,6:Tasmania,A:Annual,2017:2017,150,
1:NOM arrival,1:Males,A04:0 - 4,6:Tasmania,A:Annual,2018:2018,170,
1:NOM arrival,1:Males,A04:0 - 4,6:Tasmania,A:Annual,2019:2019,200,
1:NOM arrival,1:Males,A04:0 - 4,7:Northern Territory,A:Annual,2004:2004,80,
